Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
07/09/2020,0,2343,11931,11389,82259,7131,12439,1171,1634,37191,19013,392,2056,3282,36180,6435,8308,0,8055,14403,2820,15119,17740,23550,12470,8485,12485,2344,2787,6125,2022,21569,4445,65564,25129,5806,0,1150,6931,5808,13497,63197,3477,9925,1084,21755,54504,2973,993,119,16721,12499,197189,13204,1227
07/10/2020,23846,6187,16110,0,97303,9332,19,2503,4961,64229,26926,334,1443,3432,32997,8270,7589,9297,8651,25108,2648,13298,18260,23252,20385,5508,0,3413,3179,5713,2607,23741,6194,73558,28801,5338,0,43151,9320,4695,18617,275,3747,11470,1232,21861,76577,7241,1349,112,13457,14227,201203,12746,822
07/11/2020,9767,1445,14765,4988,99958,11375,-73,1407,3166,53672,18525,113,1639,4250,32345,7584,6113,0,5178,19199,1484,12129,10216,27317,16270,4031,19725,1181,2840,5742,2727,38126,7700,69203,25446,4058,0,23482,8742,5413,13683,229,4507,12855,1064,12539,39835,9378,934,181,16539,10343,203823,12074,49
07/12/2020,9460,2099,12170,12753,130904,9050,31006,3294,2833,98708,18543,0,1686,2891,38894,6501,6052,0,0,10548,2424,21140,7040,22033,12957,868,10958,1302,4249,6323,3510,24320,7173,62418,23517,4311,2,23351,456,3989,11961,288,2934,4418,1002,10901,63130,7706,819,282,16007,5382,207036,7645,23
07/13/2020,8000,1115,6240,0,137766,9327,2586,1954,3337,65567,24551,363,1250,1862,30012,5762,2303,13396,3968,18431,1648,11067,20035,17272,13937,8204,10269,4034,3556,5637,2269,14781,7603,51687,20911,4285,0,18365,510,4540,7190,356,1804,14593,770,35946,47371,5277,730,201,12538,18560,208225,6632,42
07/14/2020,9448,2883,19488,7103,130590,8154,12143,2237,3696,45669,23067,195,900,3147,28446,8000,3692,0,13626,23029,1513,15415,20900,20359,8625,6798,9326,2701,4576,6987,1628,20846,5998,60045,34360,2382,-70,18998,20512,4744,15809,113,3222,10380,786,17927,58555,6186,1043,0,14041,17913,214012,14683,47
07/15/2020,11932,6620,13993,5707,118321,7297,11535,1788,4028,50710,23949,290,1487,3602,38161,8180,6904,8199,3565,24745,2456,21535,20921,34133,12883,6644,12844,2362,3508,4245,2870,21116,5651,63598,29791,2953,3,18874,6031,6330,21366,256,3313,8502,1379,25785,43519,7559,734,590,13864,16850,217904,13952,2886
07/16/2020,9972,6929,13307,4932,122232,8614,14425,1482,2298,79665,23239,184,1830,2913,43006,8969,9139,0,8792,22937,2531,16891,17586,27235,14715,7043,11354,4082,3486,6418,3258,17557,6999,72685,28120,3971,0,26170,9492,7160,14992,195,4232,13981,493,26024,57656,7448,682,405,13565,15411,219174,14313,538
07/17/2020,11956,2392,15664,6705,128591,10938,25,3740,1365,65150,20456,241,1817,3426,43735,9077,6002,9979,15025,19803,2983,24171,17990,30352,14299,7564,8595,2564,2967,6164,3498,9024,6363,78239,31217,4021,1,27331,8227,5249,15749,546,3774,13411,1937,26975,67466,8278,326,768,12395,16397,222552,13456,544
07/18/2020,11306,2949,7836,6156,123119,8941,-139,2147,3348,51220,33128,1,1791,2155,46099,9820,1276,0,7081,0,1484,18053,10959,30572,16451,5821,12980,1475,4955,5530,2205,12522,8930,69817,35169,4622,0,22312,10687,6598,13337,333,4259,8618,1274,22980,75364,8434,1080,469,16938,9687,225511,12477,39
07/19/2020,10946,4647,13988,6166,119634,9049,27162,2238,2810,70653,23513,0,1640,3667,32113,12425,11762,0,2513,25364,2508,28899,7616,28381,17226,792,8203,1280,1250,7251,3147,9687,8366,46204,15721,5412,0,24478,209,4797,14652,610,3213,15393,840,23645,89679,6582,2054,362,12739,5211,230988,8108,18
07/20/2020,8221,2576,7544,13645,127469,9246,5665,0,3975,49465,18462,318,1321,1691,34598,8780,3053,12178,1410,33620,1785,14755,17430,22330,14222,11898,12833,5883,2495,5633,3001,11737,8551,49342,29024,5509,391,18998,168,4454,12534,398,2647,10930,567,17870,52190,6582,1368,37,7498,17727,234980,7016,61
07/21/2020,6490,3040,14143,6819,122611,12383,41,5352,3971,47644,21510,186,827,3148,29745,9145,3889,0,14481,20038,3021,20550,19710,22586,9449,5223,8408,1960,3545,3401,1830,15081,7282,66169,35109,3573,1,18111,22275,5219,15850,479,2662,10377,1191,23066,59020,6039,1079,240,19647,17057,240326,14532,51
07/22/2020,8990,6707,6315,0,127487,8863,11569,1086,3861,54961,21553,325,1399,2867,39633,9608,4003,7155,10322,29939,2775,21021,18328,30238,11692,7832,9140,2516,4180,5486,2206,22974,5034,67659,32823,4035,1652,21572,7215,7531,15714,98,4328,10467,1213,25595,60574,5959,795,305,14026,15767,242387,14815,50
07/23/2020,9923,4176,8732,5832,113885,11389,13482,2918,2449,56231,20094,382,631,2816,39706,11870,9850,0,5659,21967,2657,16044,20211,27111,16764,982,13824,2700,2952,9828,3670,18709,7803,69698,31855,4212,-1407,23431,7577,5697,14140,50641,3895,9314,1478,32157,60508,4020,840,370,17971,14453,251072,15298,3955
